HLS,lambda,trainAcc,testAcc
50,0,100.0,94.7076923076923
50,0.01,100.0,96.36923076923077
50,0.03,99.95384615384614,96.3076923076923
50,0.1,99.93846153846154,95.26153846153846
50,0.3,100.0,96.3076923076923
50,1,100.0,97.47692307692307
50,3,100.0,98.21538461538462
50,10,100.0,97.41538461538461
50,30,99.8923076923077,97.84615384615385
50,100,95.32307692307693,88.73846153846155
100,0,100.0,95.93846153846154
100,0.01,100.0,95.56923076923077
100,0.03,100.0,97.53846153846155
100,0.1,100.0,97.78461538461538
100,0.3,100.0,98.64615384615385
100,1,100.0,98.83076923076923
100,3,100.0,99.13846153846154
100,10,100.0,99.26153846153845
100,30,100.0,98.76923076923076
100,100,98.6923076923077,94.39999999999999
200,0,100.0,96.36923076923077
200,0.01,100.0,96.67692307692307
200,0.03,100.0,98.33846153846154
200,0.1,100.0,97.84615384615385
200,0.3,100.0,98.70769230769231
200,1,100.0,99.01538461538462
200,3,100.0,99.38461538461539
200,10,100.0,99.2
200,30,100.0,98.58461538461538
200,100,98.72307692307693,94.58461538461539
250,0,100.0,99.01538461538462
250,0.01,100.0,97.96923076923076
250,0.03,100.0,97.1076923076923
250,0.1,100.0,98.4
250,0.3,100.0,98.4
250,1,100.0,98.58461538461538
250,3,100.0,99.38461538461539
250,10,100.0,99.26153846153845
250,30,100.0,98.76923076923076
250,100,99.07692307692308,95.38461538461539
